standard,title,portfolio_score,key_gap,sectors_at_risk,alignment_tier
PS1,Assessment and Management of E&S Risks,4.46,"Agriculture, Construction require stronger monitoring or disclosure controls","Agriculture, Construction, Mining",Partial
PS2,Labour and Working Conditions,4.46,"Microfinance, Agriculture require stronger monitoring or disclosure controls","Microfinance, Agriculture, Construction",Partial
PS3,Resource Efficiency and Pollution Prevention,4.91,"Mining, Manufacturing require stronger monitoring or disclosure controls","Mining, Manufacturing, Construction",Partial
PS4,"Community Health, Safety and Security",6.11,"Mining, Energy require stronger monitoring or disclosure controls","Mining, Energy, Construction",Adequate
PS6,Biodiversity Conservation and Natural Resources,4.6,"Agriculture, Microfinance require stronger monitoring or disclosure controls","Agriculture, Microfinance, Tourism & Hotels",Partial
PS7,Indigenous Peoples,4.45,"Agriculture, Microfinance require stronger monitoring or disclosure controls","Agriculture, Microfinance",Partial
